t,qx,qy,qz,qw
0.0000000000,0.1518759808,0.1901743432,-0.0878953701,0.9659408934
0.0200000000,0.1545544247,0.1962560611,-0.0844873263,0.9646027058
0.0360000000,0.1567430965,0.2008350552,-0.0817445212,0.9635427938
0.0600000000,0.1600916427,0.2072229654,-0.0776252229,0.9619790192
0.0800000000,0.1629316379,0.2121131270,-0.0741884050,0.9607067103
0.1000000000,0.1658019722,0.2166195403,-0.0707425697,0.9594692124
0.1240000000,0.1692760388,0.2215683295,-0.0665997339,0.9580279607
0.1440000000,0.1721915773,0.2254012407,-0.0631532859,0.9568469072
0.1600000000,0.1745334236,0.2282963085,-0.0604016402,0.9559134487
0.1800000000,0.1774661564,0.2316944418,-0.0569675399,0.9547660176
0.1960000000,0.1798120521,0.2342327756,-0.0542246006,0.9538670376
0.2160000000,0.1827364457,0.2371750571,-0.0507991540,0.9527721814
0.2320000000,0.1850670020,0.2393470098,-0.0480687423,0.9519204850
0.2520000000,0.1879625710,0.2418460881,-0.0446600764,0.9508869645
0.2760000000,0.1914028884,0.2445410763,-0.0405719413,0.9496939054
0.3000000000,0.1947940036,0.2469131253,-0.0364823212,0.9485558734
0.3160000000,0.1970201476,0.2483208587,-0.0337538142,0.9478293584
0.3360000000,0.1997572609,0.2498914387,-0.0303382598,0.9469587613
0.3600000000,0.2029747557,0.2515110670,-0.0262451945,0.9459675584
0.3760000000,0.2050782340,0.2524440634,-0.0235203465,0.9453368215
0.4000000000,0.2081613975,0.2536315805,-0.0194248339,0.9444376792
0.4200000000,0.2106683785,0.2544565850,-0.0160055384,0.9437237432
0.4480000000,0.2141040027,0.2555260289,-0.0111977066,0.9427303623
0.4720000000,0.2169605023,0.2564067534,-0.0069545455,0.9418786289
0.4920000000,0.2192964171,0.2570848232,-0.0034355075,0.9411719675
0.5080000000,0.2211332089,0.2575780915,-0.0006224547,0.9406132272
0.5240000000,0.2229434730,0.2580212571,0.0021879230,0.9400619403
0.5480000000,0.2256126114,0.2585842918,0.0063904151,0.9392509123
0.5680000000,0.2277992281,0.2589561302,0.0098753242,0.9385902792
0.5840000000,0.2295302728,0.2591791668,0.0126361060,0.9380737403
0.6000000000,0.2312570732,0.2593218575,0.0153252789,0.9375699847
0.6160000000,0.2329763373,0.2593960048,0.0179801002,0.9370765470
0.6320000000,0.2346822478,0.2594032933,0.0206262795,0.9365942187
